data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
epoched,db4,linear,generalized,0.7100,0.6654,0.6654,0.7323,0.6972,"[[6065.,  566.],
 [2696., 1921.]]"
epoched,db4,linear,per-electrode,0.7173,0.6804,0.6804,0.7260,0.7024,"[[5879.,  752.],
 [2428., 2189.]]"
epoched,db4,rbf,generalized,0.7223,0.6992,0.6992,0.7162,0.7076,"[[5491., 1140.],
 [1984., 2633.]]"
epoched,db4,rbf,per-electrode,0.7165,0.6931,0.6931,0.7098,0.7014,"[[5461., 1170.],
 [2019., 2598.]]"
epoched,db6,linear,generalized,0.7075,0.6623,0.6623,0.7299,0.6945,"[[6065.,  566.],
 [2724., 1893.]]"
epoched,db6,linear,per-electrode,0.7135,0.6777,0.6777,0.7189,0.6977,"[[5818.,  813.],
 [2410., 2207.]]"
epoched,db6,rbf,generalized,0.7137,0.6897,0.6897,0.7070,0.6983,"[[5462., 1169.],
 [2051., 2566.]]"
epoched,db6,rbf,per-electrode,0.7132,0.6885,0.6885,0.7068,0.6975,"[[5480., 1151.],
 [2075., 2542.]]"
whole,db4,linear,generalized,0.6564,0.6645,0.6645,0.6644,0.6644,"[[225., 155.],
 [ 80., 224.]]"
whole,db4,linear,per-electrode,0.6199,0.6293,0.6293,0.6302,0.6298,"[[207., 173.],
 [ 87., 217.]]"
whole,db4,rbf,generalized,0.5921,0.5888,0.5888,0.5883,0.5885,"[[235., 145.],
 [134., 170.]]"
whole,db4,rbf,per-electrode,0.5892,0.5954,0.5954,0.5950,0.5952,"[[205., 175.],
 [106., 198.]]"
whole,db6,linear,generalized,0.6798,0.6878,0.6878,0.6875,0.6877,"[[234., 146.],
 [ 73., 231.]]"
whole,db6,linear,per-electrode,0.6374,0.6434,0.6434,0.6425,0.6429,"[[224., 156.],
 [ 92., 212.]]"
whole,db6,rbf,generalized,0.6126,0.6115,0.6115,0.6103,0.6109,"[[236., 144.],
 [121., 183.]]"
whole,db6,rbf,per-electrode,0.6184,0.6257,0.6257,0.6254,0.6255,"[[213., 167.],
 [ 94., 210.]]"
