electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
0,epoched,db4,linear,generalized,0.7601,0.7303,0.7303,0.7695,0.7494,"[[313.,  36.],
 [106., 137.]]"
0,epoched,db4,linear,per-electrode,0.7568,0.7368,0.7368,0.7532,0.7449,"[[296.,  53.],
 [ 91., 152.]]"
0,epoched,db4,rbf,generalized,0.7044,0.6968,0.6968,0.6952,0.6960,"[[258.,  91.],
 [ 84., 159.]]"
0,epoched,db4,rbf,per-electrode,0.7247,0.7002,0.7002,0.7199,0.7099,"[[292.,  57.],
 [106., 137.]]"
0,epoched,db6,linear,generalized,0.7635,0.7338,0.7338,0.7735,0.7532,"[[314.,  35.],
 [105., 138.]]"
0,epoched,db6,linear,per-electrode,0.7686,0.7500,0.7500,0.7654,0.7576,"[[298.,  51.],
 [ 86., 157.]]"
0,epoched,db6,rbf,generalized,0.6875,0.6806,0.6806,0.6784,0.6795,"[[251.,  98.],
 [ 87., 156.]]"
0,epoched,db6,rbf,per-electrode,0.7280,0.7056,0.7056,0.7224,0.7139,"[[290.,  59.],
 [102., 141.]]"
0,whole,db4,linear,generalized,0.6667,0.6875,0.6875,0.7083,0.6978,"[[10., 10.],
 [ 2., 14.]]"
0,whole,db4,linear,per-electrode,0.6944,0.7125,0.7125,0.7274,0.7199,"[[11.,  9.],
 [ 2., 14.]]"
0,whole,db4,rbf,generalized,0.5278,0.5687,0.5687,0.6419,0.6031,"[[ 4., 16.],
 [ 1., 15.]]"
0,whole,db4,rbf,per-electrode,0.7222,0.7312,0.7312,0.7312,0.7312,"[[13.,  7.],
 [ 3., 13.]]"
0,whole,db6,linear,generalized,0.6667,0.6875,0.6875,0.7083,0.6978,"[[10., 10.],
 [ 2., 14.]]"
0,whole,db6,linear,per-electrode,0.6667,0.6687,0.6687,0.6667,0.6677,"[[13.,  7.],
 [ 5., 11.]]"
0,whole,db6,rbf,generalized,0.5000,0.5500,0.5500,0.7353,0.6293,"[[ 2., 18.],
 [ 0., 16.]]"
0,whole,db6,rbf,per-electrode,0.6111,0.6312,0.6312,0.6458,0.6385,"[[ 9., 11.],
 [ 3., 13.]]"
