electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
1,epoched,db4,linear,generalized,0.6959,0.6421,0.6421,0.7393,0.6873,"[[329.,  20.],
 [160.,  83.]]"
1,epoched,db4,linear,per-electrode,0.7382,0.6973,0.6973,0.7644,0.7293,"[[323.,  26.],
 [129., 114.]]"
1,epoched,db4,rbf,generalized,0.6791,0.6572,0.6572,0.6673,0.6622,"[[272.,  77.],
 [113., 130.]]"
1,epoched,db4,rbf,per-electrode,0.6943,0.6644,0.6644,0.6881,0.6760,"[[290.,  59.],
 [122., 121.]]"
1,epoched,db6,linear,generalized,0.6959,0.6428,0.6428,0.7368,0.6866,"[[328.,  21.],
 [159.,  84.]]"
1,epoched,db6,linear,per-electrode,0.7365,0.6971,0.6971,0.7579,0.7263,"[[320.,  29.],
 [127., 116.]]"
1,epoched,db6,rbf,generalized,0.6706,0.6513,0.6513,0.6579,0.6546,"[[265.,  84.],
 [111., 132.]]"
1,epoched,db6,rbf,per-electrode,0.6943,0.6669,0.6669,0.6864,0.6765,"[[286.,  63.],
 [118., 125.]]"
1,whole,db4,linear,generalized,0.6389,0.6438,0.6438,0.6424,0.6431,"[[12.,  8.],
 [ 5., 11.]]"
1,whole,db4,linear,per-electrode,0.5833,0.5938,0.5938,0.5952,0.5945,"[[10., 10.],
 [ 5., 11.]]"
1,whole,db4,rbf,generalized,0.5278,0.5625,0.5625,0.5985,0.5800,"[[ 5., 15.],
 [ 2., 14.]]"
1,whole,db4,rbf,per-electrode,0.5833,0.5938,0.5938,0.5952,0.5945,"[[10., 10.],
 [ 5., 11.]]"
1,whole,db6,linear,generalized,0.5833,0.5875,0.5875,0.5867,0.5871,"[[11.,  9.],
 [ 6., 10.]]"
1,whole,db6,linear,per-electrode,0.5833,0.6062,0.6062,0.6236,0.6148,"[[ 8., 12.],
 [ 3., 13.]]"
1,whole,db6,rbf,generalized,0.5556,0.5875,0.5875,0.6250,0.6057,"[[ 6., 14.],
 [ 2., 14.]]"
1,whole,db6,rbf,per-electrode,0.5833,0.5875,0.5875,0.5867,0.5871,"[[11.,  9.],
 [ 6., 10.]]"
