electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
12,epoched,db4,linear,generalized,0.7095,0.6655,0.6655,0.7299,0.6962,"[[318.,  31.],
 [141., 102.]]"
12,epoched,db4,linear,per-electrode,0.7703,0.7483,0.7483,0.7706,0.7593,"[[304.,  45.],
 [ 91., 152.]]"
12,epoched,db4,rbf,generalized,0.7517,0.7382,0.7382,0.7442,0.7412,"[[284.,  65.],
 [ 82., 161.]]"
12,epoched,db4,rbf,per-electrode,0.7601,0.7509,0.7509,0.7522,0.7516,"[[280.,  69.],
 [ 73., 170.]]"
12,epoched,db6,linear,generalized,0.6926,0.6455,0.6455,0.7114,0.6769,"[[317.,  32.],
 [150.,  93.]]"
12,epoched,db6,linear,per-electrode,0.7568,0.7312,0.7312,0.7589,0.7448,"[[305.,  44.],
 [100., 143.]]"
12,epoched,db6,rbf,generalized,0.7314,0.7172,0.7172,0.7227,0.7199,"[[278.,  71.],
 [ 88., 155.]]"
12,epoched,db6,rbf,per-electrode,0.7770,0.7646,0.7646,0.7709,0.7677,"[[291.,  58.],
 [ 74., 169.]]"
12,whole,db4,linear,generalized,0.8333,0.8438,0.8438,0.8438,0.8438,"[[15.,  5.],
 [ 1., 15.]]"
12,whole,db4,linear,per-electrode,0.7500,0.7625,0.7625,0.7667,0.7646,"[[13.,  7.],
 [ 2., 14.]]"
12,whole,db4,rbf,generalized,0.6389,0.6312,0.6312,0.6333,0.6323,"[[14.,  6.],
 [ 7.,  9.]]"
12,whole,db4,rbf,per-electrode,0.5278,0.5375,0.5375,0.5381,0.5378,"[[ 9., 11.],
 [ 6., 10.]]"
12,whole,db6,linear,generalized,0.8056,0.8187,0.8187,0.8238,0.8213,"[[14.,  6.],
 [ 1., 15.]]"
12,whole,db6,linear,per-electrode,0.8056,0.8125,0.8125,0.8096,0.8110,"[[15.,  5.],
 [ 2., 14.]]"
12,whole,db6,rbf,generalized,0.7500,0.7438,0.7438,0.7476,0.7457,"[[16.,  4.],
 [ 5., 11.]]"
12,whole,db6,rbf,per-electrode,0.5000,0.5125,0.5125,0.5130,0.5127,"[[ 8., 12.],
 [ 6., 10.]]"
