electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
14,epoched,db4,linear,generalized,0.7078,0.6640,0.6640,0.7267,0.6939,"[[317.,  32.],
 [141., 102.]]"
14,epoched,db4,linear,per-electrode,0.7568,0.7300,0.7300,0.7606,0.7449,"[[307.,  42.],
 [102., 141.]]"
14,epoched,db4,rbf,generalized,0.7078,0.6772,0.6772,0.7052,0.6909,"[[296.,  53.],
 [120., 123.]]"
14,epoched,db4,rbf,per-electrode,0.7483,0.7240,0.7240,0.7474,0.7355,"[[300.,  49.],
 [100., 143.]]"
14,epoched,db6,linear,generalized,0.7061,0.6607,0.6607,0.7282,0.6928,"[[319.,  30.],
 [144.,  99.]]"
14,epoched,db6,linear,per-electrode,0.7584,0.7320,0.7320,0.7621,0.7467,"[[307.,  42.],
 [101., 142.]]"
14,epoched,db6,rbf,generalized,0.7078,0.6784,0.6784,0.7040,0.6910,"[[294.,  55.],
 [118., 125.]]"
14,epoched,db6,rbf,per-electrode,0.7382,0.7136,0.7136,0.7358,0.7245,"[[297.,  52.],
 [103., 140.]]"
14,whole,db4,linear,generalized,0.7778,0.7812,0.7812,0.7778,0.7795,"[[15.,  5.],
 [ 3., 13.]]"
14,whole,db4,linear,per-electrode,0.7778,0.7812,0.7812,0.7778,0.7795,"[[15.,  5.],
 [ 3., 13.]]"
14,whole,db4,rbf,generalized,0.6667,0.6500,0.6500,0.6667,0.6582,"[[16.,  4.],
 [ 8.,  8.]]"
14,whole,db4,rbf,per-electrode,0.5278,0.5125,0.5125,0.5134,0.5129,"[[13.,  7.],
 [10.,  6.]]"
14,whole,db6,linear,generalized,0.8333,0.8375,0.8375,0.8333,0.8354,"[[16.,  4.],
 [ 2., 14.]]"
14,whole,db6,linear,per-electrode,0.7778,0.7750,0.7750,0.7750,0.7750,"[[16.,  4.],
 [ 4., 12.]]"
14,whole,db6,rbf,generalized,0.7222,0.7125,0.7125,0.7208,0.7166,"[[16.,  4.],
 [ 6., 10.]]"
14,whole,db6,rbf,per-electrode,0.5833,0.5750,0.5750,0.5762,0.5756,"[[13.,  7.],
 [ 8.,  8.]]"
