electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
16,epoched,db4,linear,generalized,0.8716,0.8580,0.8580,0.8761,0.8669,"[[326.,  23.],
 [ 53., 190.]]"
16,epoched,db4,linear,per-electrode,0.8699,0.8572,0.8572,0.8730,0.8650,"[[324.,  25.],
 [ 52., 191.]]"
16,epoched,db4,rbf,generalized,0.8311,0.8242,0.8242,0.8259,0.8251,"[[301.,  48.],
 [ 52., 191.]]"
16,epoched,db4,rbf,per-electrode,0.7686,0.7544,0.7544,0.7626,0.7585,"[[291.,  58.],
 [ 79., 164.]]"
16,epoched,db6,linear,generalized,0.8716,0.8561,0.8561,0.8790,0.8674,"[[329.,  20.],
 [ 56., 187.]]"
16,epoched,db6,linear,per-electrode,0.8716,0.8574,0.8574,0.8770,0.8671,"[[327.,  22.],
 [ 54., 189.]]"
16,epoched,db6,rbf,generalized,0.8277,0.8195,0.8195,0.8230,0.8212,"[[302.,  47.],
 [ 55., 188.]]"
16,epoched,db6,rbf,per-electrode,0.7551,0.7429,0.7429,0.7474,0.7451,"[[283.,  66.],
 [ 79., 164.]]"
16,whole,db4,linear,generalized,0.6667,0.6875,0.6875,0.7083,0.6978,"[[10., 10.],
 [ 2., 14.]]"
16,whole,db4,linear,per-electrode,0.7222,0.7438,0.7438,0.7708,0.7570,"[[11.,  9.],
 [ 1., 15.]]"
16,whole,db4,rbf,generalized,0.6389,0.6625,0.6625,0.6891,0.6755,"[[ 9., 11.],
 [ 2., 14.]]"
16,whole,db4,rbf,per-electrode,0.4722,0.4938,0.4938,0.4927,0.4932,"[[ 6., 14.],
 [ 5., 11.]]"
16,whole,db6,linear,generalized,0.8056,0.8250,0.8250,0.8478,0.8363,"[[13.,  7.],
 [ 0., 16.]]"
16,whole,db6,linear,per-electrode,0.7500,0.7625,0.7625,0.7667,0.7646,"[[13.,  7.],
 [ 2., 14.]]"
16,whole,db6,rbf,generalized,0.7500,0.7688,0.7688,0.7876,0.7781,"[[12.,  8.],
 [ 1., 15.]]"
16,whole,db6,rbf,per-electrode,0.5833,0.5938,0.5938,0.5952,0.5945,"[[10., 10.],
 [ 5., 11.]]"
