electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
18,epoched,db4,linear,generalized,0.7416,0.7033,0.7033,0.7624,0.7317,"[[320.,  29.],
 [124., 119.]]"
18,epoched,db4,linear,per-electrode,0.7889,0.7722,0.7722,0.7865,0.7793,"[[302.,  47.],
 [ 78., 165.]]"
18,epoched,db4,rbf,generalized,0.7382,0.7179,0.7179,0.7324,0.7251,"[[290.,  59.],
 [ 96., 147.]]"
18,epoched,db4,rbf,per-electrode,0.7551,0.7423,0.7423,0.7476,0.7449,"[[284.,  65.],
 [ 80., 163.]]"
18,epoched,db6,linear,generalized,0.7416,0.7039,0.7039,0.7609,0.7313,"[[319.,  30.],
 [123., 120.]]"
18,epoched,db6,linear,per-electrode,0.7990,0.7820,0.7820,0.7981,0.7900,"[[306.,  43.],
 [ 76., 167.]]"
18,epoched,db6,rbf,generalized,0.7365,0.7140,0.7140,0.7321,0.7229,"[[293.,  56.],
 [100., 143.]]"
18,epoched,db6,rbf,per-electrode,0.7736,0.7612,0.7612,0.7673,0.7642,"[[290.,  59.],
 [ 75., 168.]]"
18,whole,db4,linear,generalized,0.7222,0.7500,0.7500,0.8077,0.7778,"[[10., 10.],
 [ 0., 16.]]"
18,whole,db4,linear,per-electrode,0.5833,0.6125,0.6125,0.6481,0.6298,"[[ 7., 13.],
 [ 2., 14.]]"
18,whole,db4,rbf,generalized,0.5278,0.5687,0.5687,0.6419,0.6031,"[[ 4., 16.],
 [ 1., 15.]]"
18,whole,db4,rbf,per-electrode,0.6667,0.6813,0.6813,0.6883,0.6848,"[[11.,  9.],
 [ 3., 13.]]"
18,whole,db6,linear,generalized,0.7222,0.7500,0.7500,0.8077,0.7778,"[[10., 10.],
 [ 0., 16.]]"
18,whole,db6,linear,per-electrode,0.6111,0.6188,0.6188,0.6188,0.6188,"[[11.,  9.],
 [ 5., 11.]]"
18,whole,db6,rbf,generalized,0.4722,0.5188,0.5188,0.5606,0.5389,"[[ 2., 18.],
 [ 1., 15.]]"
18,whole,db6,rbf,per-electrode,0.6111,0.6312,0.6312,0.6458,0.6385,"[[ 9., 11.],
 [ 3., 13.]]"
