electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
0,epoched,db4,linear,per-electrode,0.7568,0.7368,0.7368,0.7532,0.7449,"[[296.,  53.],
 [ 91., 152.]]"
0,epoched,db4,rbf,per-electrode,0.7247,0.7002,0.7002,0.7199,0.7099,"[[292.,  57.],
 [106., 137.]]"
1,epoched,db4,linear,per-electrode,0.7382,0.6973,0.6973,0.7644,0.7293,"[[323.,  26.],
 [129., 114.]]"
1,epoched,db4,rbf,per-electrode,0.6943,0.6644,0.6644,0.6881,0.6760,"[[290.,  59.],
 [122., 121.]]"
2,epoched,db4,linear,per-electrode,0.7061,0.6632,0.6632,0.7221,0.6914,"[[315.,  34.],
 [140., 103.]]"
2,epoched,db4,rbf,per-electrode,0.7568,0.7381,0.7381,0.7522,0.7451,"[[294.,  55.],
 [ 89., 154.]]"
3,epoched,db4,linear,per-electrode,0.6672,0.6134,0.6134,0.6867,0.6480,"[[319.,  30.],
 [167.,  76.]]"
3,epoched,db4,rbf,per-electrode,0.6706,0.6556,0.6556,0.6585,0.6571,"[[258.,  91.],
 [104., 139.]]"
4,epoched,db4,linear,per-electrode,0.7179,0.6858,0.6858,0.7196,0.7023,"[[302.,  47.],
 [120., 123.]]"
4,epoched,db4,rbf,per-electrode,0.7584,0.7420,0.7420,0.7527,0.7473,"[[291.,  58.],
 [ 85., 158.]]"
5,epoched,db4,linear,per-electrode,0.5777,0.5062,0.5062,0.5168,0.5114,"[[316.,  33.],
 [217.,  26.]]"
5,epoched,db4,rbf,per-electrode,0.6824,0.6507,0.6507,0.6751,0.6627,"[[289.,  60.],
 [128., 115.]]"
6,epoched,db4,linear,per-electrode,0.7905,0.7711,0.7711,0.7912,0.7810,"[[307.,  42.],
 [ 82., 161.]]"
6,epoched,db4,rbf,per-electrode,0.8193,0.8105,0.8105,0.8143,0.8124,"[[300.,  49.],
 [ 58., 185.]]"
7,epoched,db4,linear,per-electrode,0.6503,0.5916,0.5916,0.6688,0.6278,"[[321.,  28.],
 [179.,  64.]]"
7,epoched,db4,rbf,per-electrode,0.6993,0.6719,0.6719,0.6925,0.6820,"[[288.,  61.],
 [117., 126.]]"
8,epoched,db4,linear,per-electrode,0.6943,0.6776,0.6776,0.6833,0.6804,"[[269.,  80.],
 [101., 142.]]"
8,epoched,db4,rbf,per-electrode,0.6689,0.6511,0.6511,0.6563,0.6537,"[[262.,  87.],
 [109., 134.]]"
9,epoched,db4,linear,per-electrode,0.6774,0.6370,0.6370,0.6768,0.6563,"[[301.,  48.],
 [143., 100.]]"
9,epoched,db4,rbf,per-electrode,0.6622,0.6328,0.6328,0.6496,0.6411,"[[278.,  71.],
 [129., 114.]]"
10,epoched,db4,linear,per-electrode,0.7111,0.6794,0.6794,0.7106,0.6946,"[[299.,  50.],
 [121., 122.]]"
10,epoched,db4,rbf,per-electrode,0.6959,0.6721,0.6721,0.6867,0.6793,"[[281.,  68.],
 [112., 131.]]"
11,epoched,db4,linear,per-electrode,0.7382,0.7036,0.7036,0.7498,0.7259,"[[313.,  36.],
 [119., 124.]]"
11,epoched,db4,rbf,per-electrode,0.7264,0.7067,0.7067,0.7190,0.7128,"[[285.,  64.],
 [ 98., 145.]]"
12,epoched,db4,linear,per-electrode,0.7703,0.7483,0.7483,0.7706,0.7593,"[[304.,  45.],
 [ 91., 152.]]"
12,epoched,db4,rbf,per-electrode,0.7601,0.7509,0.7509,0.7522,0.7516,"[[280.,  69.],
 [ 73., 170.]]"
13,epoched,db4,linear,per-electrode,0.7145,0.6704,0.6704,0.7380,0.7026,"[[320.,  29.],
 [140., 103.]]"
13,epoched,db4,rbf,per-electrode,0.7027,0.6666,0.6666,0.7052,0.6854,"[[303.,  46.],
 [130., 113.]]"
14,epoched,db4,linear,per-electrode,0.7568,0.7300,0.7300,0.7606,0.7449,"[[307.,  42.],
 [102., 141.]]"
14,epoched,db4,rbf,per-electrode,0.7483,0.7240,0.7240,0.7474,0.7355,"[[300.,  49.],
 [100., 143.]]"
15,epoched,db4,linear,per-electrode,0.6520,0.5961,0.5961,0.6644,0.6284,"[[317.,  32.],
 [174.,  69.]]"
15,epoched,db4,rbf,per-electrode,0.6622,0.6247,0.6247,0.6536,0.6389,"[[291.,  58.],
 [142., 101.]]"
16,epoched,db4,linear,per-electrode,0.8699,0.8572,0.8572,0.8730,0.8650,"[[324.,  25.],
 [ 52., 191.]]"
16,epoched,db4,rbf,per-electrode,0.7686,0.7544,0.7544,0.7626,0.7585,"[[291.,  58.],
 [ 79., 164.]]"
17,epoched,db4,linear,per-electrode,0.6503,0.5897,0.5897,0.6748,0.6294,"[[324.,  25.],
 [182.,  61.]]"
17,epoched,db4,rbf,per-electrode,0.6571,0.6104,0.6104,0.6559,0.6324,"[[304.,  45.],
 [158.,  85.]]"
18,epoched,db4,linear,per-electrode,0.7889,0.7722,0.7722,0.7865,0.7793,"[[302.,  47.],
 [ 78., 165.]]"
18,epoched,db4,rbf,per-electrode,0.7551,0.7423,0.7423,0.7476,0.7449,"[[284.,  65.],
 [ 80., 163.]]"
