electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
0,epoched,db4,rbf,per-electrode,0.7247,0.7002,0.7002,0.7199,0.7099,"[[292.,  57.],
 [106., 137.]]"
1,epoched,db4,rbf,per-electrode,0.6943,0.6644,0.6644,0.6881,0.6760,"[[290.,  59.],
 [122., 121.]]"
2,epoched,db4,rbf,per-electrode,0.7568,0.7381,0.7381,0.7522,0.7451,"[[294.,  55.],
 [ 89., 154.]]"
3,epoched,db4,rbf,per-electrode,0.6706,0.6556,0.6556,0.6585,0.6571,"[[258.,  91.],
 [104., 139.]]"
4,epoched,db4,rbf,per-electrode,0.7584,0.7420,0.7420,0.7527,0.7473,"[[291.,  58.],
 [ 85., 158.]]"
5,epoched,db4,rbf,per-electrode,0.6824,0.6507,0.6507,0.6751,0.6627,"[[289.,  60.],
 [128., 115.]]"
6,epoched,db4,rbf,per-electrode,0.8193,0.8105,0.8105,0.8143,0.8124,"[[300.,  49.],
 [ 58., 185.]]"
7,epoched,db4,rbf,per-electrode,0.6993,0.6719,0.6719,0.6925,0.6820,"[[288.,  61.],
 [117., 126.]]"
8,epoched,db4,rbf,per-electrode,0.6689,0.6511,0.6511,0.6563,0.6537,"[[262.,  87.],
 [109., 134.]]"
9,epoched,db4,rbf,per-electrode,0.6622,0.6328,0.6328,0.6496,0.6411,"[[278.,  71.],
 [129., 114.]]"
10,epoched,db4,rbf,per-electrode,0.6959,0.6721,0.6721,0.6867,0.6793,"[[281.,  68.],
 [112., 131.]]"
11,epoched,db4,rbf,per-electrode,0.7264,0.7067,0.7067,0.7190,0.7128,"[[285.,  64.],
 [ 98., 145.]]"
12,epoched,db4,rbf,per-electrode,0.7601,0.7509,0.7509,0.7522,0.7516,"[[280.,  69.],
 [ 73., 170.]]"
13,epoched,db4,rbf,per-electrode,0.7027,0.6666,0.6666,0.7052,0.6854,"[[303.,  46.],
 [130., 113.]]"
14,epoched,db4,rbf,per-electrode,0.7483,0.7240,0.7240,0.7474,0.7355,"[[300.,  49.],
 [100., 143.]]"
15,epoched,db4,rbf,per-electrode,0.6622,0.6247,0.6247,0.6536,0.6389,"[[291.,  58.],
 [142., 101.]]"
16,epoched,db4,rbf,per-electrode,0.7686,0.7544,0.7544,0.7626,0.7585,"[[291.,  58.],
 [ 79., 164.]]"
17,epoched,db4,rbf,per-electrode,0.6571,0.6104,0.6104,0.6559,0.6324,"[[304.,  45.],
 [158.,  85.]]"
18,epoched,db4,rbf,per-electrode,0.7551,0.7423,0.7423,0.7476,0.7449,"[[284.,  65.],
 [ 80., 163.]]"
0,epoched,db4,rbf,per-electrode,0.7247,0.7002,0.7002,0.7199,0.7099,"[[292.,  57.],
 [106., 137.]]"
1,epoched,db4,rbf,per-electrode,0.6943,0.6644,0.6644,0.6881,0.6760,"[[290.,  59.],
 [122., 121.]]"
2,epoched,db4,rbf,per-electrode,0.7568,0.7381,0.7381,0.7522,0.7451,"[[294.,  55.],
 [ 89., 154.]]"
3,epoched,db4,rbf,per-electrode,0.6706,0.6556,0.6556,0.6585,0.6571,"[[258.,  91.],
 [104., 139.]]"
4,epoched,db4,rbf,per-electrode,0.7584,0.7420,0.7420,0.7527,0.7473,"[[291.,  58.],
 [ 85., 158.]]"
5,epoched,db4,rbf,per-electrode,0.6824,0.6507,0.6507,0.6751,0.6627,"[[289.,  60.],
 [128., 115.]]"
6,epoched,db4,rbf,per-electrode,0.8193,0.8105,0.8105,0.8143,0.8124,"[[300.,  49.],
 [ 58., 185.]]"
7,epoched,db4,rbf,per-electrode,0.6993,0.6719,0.6719,0.6925,0.6820,"[[288.,  61.],
 [117., 126.]]"
8,epoched,db4,rbf,per-electrode,0.6689,0.6511,0.6511,0.6563,0.6537,"[[262.,  87.],
 [109., 134.]]"
