electrode,data_type,wavelet,kernel,model,accuracy,recall,specificity,precision,F1,confusion_matrix
0,whole,db6,linear,generalized,0.6667,0.6875,0.6875,0.7083,0.6978,"[[10., 10.],
 [ 2., 14.]]"
1,whole,db6,linear,generalized,0.5833,0.5875,0.5875,0.5867,0.5871,"[[11.,  9.],
 [ 6., 10.]]"
2,whole,db6,linear,generalized,0.7222,0.7250,0.7250,0.7222,0.7236,"[[14.,  6.],
 [ 4., 12.]]"
3,whole,db6,linear,generalized,0.5833,0.5875,0.5875,0.5867,0.5871,"[[11.,  9.],
 [ 6., 10.]]"
4,whole,db6,linear,generalized,0.7222,0.7375,0.7375,0.7468,0.7421,"[[12.,  8.],
 [ 2., 14.]]"
5,whole,db6,linear,generalized,0.6667,0.6625,0.6625,0.6625,0.6625,"[[14.,  6.],
 [ 6., 10.]]"
6,whole,db6,linear,generalized,0.8056,0.8187,0.8187,0.8238,0.8213,"[[14.,  6.],
 [ 1., 15.]]"
7,whole,db6,linear,generalized,0.6111,0.6312,0.6312,0.6458,0.6385,"[[ 9., 11.],
 [ 3., 13.]]"
8,whole,db6,linear,generalized,0.8056,0.8125,0.8125,0.8096,0.8110,"[[15.,  5.],
 [ 2., 14.]]"
9,whole,db6,linear,generalized,0.5833,0.5938,0.5938,0.5952,0.5945,"[[10., 10.],
 [ 5., 11.]]"
10,whole,db6,linear,generalized,0.7222,0.7375,0.7375,0.7468,0.7421,"[[12.,  8.],
 [ 2., 14.]]"
11,whole,db6,linear,generalized,0.6667,0.6625,0.6625,0.6625,0.6625,"[[14.,  6.],
 [ 6., 10.]]"
12,whole,db6,linear,generalized,0.8056,0.8187,0.8187,0.8238,0.8213,"[[14.,  6.],
 [ 1., 15.]]"
13,whole,db6,linear,generalized,0.4167,0.4125,0.4125,0.4133,0.4129,"[[ 9., 11.],
 [10.,  6.]]"
14,whole,db6,linear,generalized,0.8333,0.8375,0.8375,0.8333,0.8354,"[[16.,  4.],
 [ 2., 14.]]"
15,whole,db6,linear,generalized,0.5556,0.5375,0.5375,0.5417,0.5396,"[[14.,  6.],
 [10.,  6.]]"
16,whole,db6,linear,generalized,0.8056,0.8250,0.8250,0.8478,0.8363,"[[13.,  7.],
 [ 0., 16.]]"
17,whole,db6,linear,generalized,0.6389,0.6438,0.6438,0.6424,0.6431,"[[12.,  8.],
 [ 5., 11.]]"
18,whole,db6,linear,generalized,0.7222,0.7500,0.7500,0.8077,0.7778,"[[10., 10.],
 [ 0., 16.]]"
